Full name accepted	Abbreviation with periods accepted	Abbreviation without periods accepted
Revista Ibero-Americana de Ortodoncia	Rev. Iberoam. Ortod.	Rev Iberoam Ortod
Revista Interamericana de Psicología. Interamerican Journal of Psychology	Interam. J. Psychol.	Interam J Psychol
Revista Interamericana de Radiología	Rev. Interam. Radiol.	Rev Interam Radiol
Revista Internacional de Psicología y Terapia Psicológica. International Journal of Psychology and Psychological Therapy	Rev. Int. Psicol. Ter. Psicol.	Rev Int Psicol Ter Psicol
Revista Kuba de Medicina Tropical y Parasitologia	Rev. Kuba Med. Trop. Parasitol.	Rev Kuba Med Trop Parasitol
Revista Latino-Americana de Enfermagem	Rev. Lat. Am. Enfermagem	Rev Lat Am Enfermagem
Revista Latinoamericana de Cirugía Plástica	Rev. Latinoam. Cir. Plast.	Rev Latinoam Cir Plast
Revista Latinoamericana de Microbiología	Rev. Latinoam. Microbiol.	Rev Latinoam Microbiol
Revista Latinoamericana de Microbiología y Parasitología	Rev. Latinoam. Microbiol. Parasitol. (Mex.)	Rev Latinoam Microbiol Parasitol (Mex)
Revista Latinoamericana de Patología	Rev. Latinoam. Patol.	Rev Latinoam Patol
Revista Latinoamericana de Perinatologia	Rev. Latinoam. Perinatol.	Rev Latinoam Perinatol
Revista Medica	Rev. Med. (Puebla)	Rev Med (Puebla)
Revista Medica Brasileira	Rev. Med. Bras.	Rev Med Bras
Revista Medica Cubana	Rev. Med. Cubana	Rev Med Cubana
Revista Medica da Aeronautica	Rev. Med. Aeron.	Rev Med Aeron
Revista Medica da Aeronáutica do Brasil	Rev. Med. Aeron. Braz.	Rev Med Aeron Braz
Revista Medica da Bahia	Rev. Med. Bahia	Rev Med Bahia
Revista Medica de Córdoba	Rev. Med. Cordoba	Rev Med Cordoba
Revista Medica de Costa Rica	Rev. Med. Costa Rica	Rev Med Costa Rica
Revista Medica de Moçambique	Rev. Med. Moamb.	Rev Med Moamb
Revista Medica de Panamá	Rev. Med. Panama	Rev Med Panama
Revista Medica de Pernambuco	Rev. Med. Pernamb.	Rev Med Pernamb
Revista Medica de Rosario	Rev. Med. Rosario	Rev Med Rosario
Revista Medica de Valparaíso	Rev. Med. Valparaiso	Rev Med Valparaiso
Revista Medica del Hospital Britanico	Rev. Med. Hosp. Britanico	Rev Med Hosp Britanico
Revista Medica del Hospital Central del Empleado	Rev. Med. Hosp. Cent. Empl.	Rev Med Hosp Cent Empl
Revista Medica del Hospital Espanol	Rev. Medica Hosp. Esp.	Rev Medica Hosp Esp
Revista Medica del Hospital General	Rev. Med. Hosp. Gen. (Mex.)	Rev Med Hosp Gen (Mex)
Revista Medica del Hospital Obrero	Rev. Med. Hosp. Obrero	Rev Med Hosp Obrero
Revista Medica del IPSS	Rev. Med. IPSS	Rev Med IPSS
Revista Medica del Paraguay	Rev. Med. Parag.	Rev Med Parag
Revista Medica do Sul de Minas	Rev. Medica Minas	Rev Medica Minas
Revista Medica Dominicana	Rev. Med. Dominic.	Rev Med Dominic
Revista Medica Hondurena	Rev. Med. Hondur.	Rev Med Hondur
Revista Medica Latino-Americana	Rev. Med. Latinoam.	Rev Med Latinoam
Revista Medica Municipal	Rev. Med. Munic.	Rev Med Munic
Revista Medica Pasteur	Rev. Med. Pasteur	Rev Med Pasteur
Revista Medica Peruana	Rev. Med. Peru.	Rev Med Peru
Revista Medica Veracruzana	Rev. Med. Veracruzana	Rev Med Veracruzana
Revista Medica Xalapena	Rev. Med. Xalapena	Rev Med Xalapena
Revista Medica. Ateneo Ramón y Cajal, México	Rev. Med.	Rev Med
Revista Medico-Chirurgicala a Societatii de Medici si Naturalisti Din Iasi	Rev. Med. Chir. Soc. Med. Nat. Iasi	Rev Med Chir Soc Med Nat Iasi
Revista Medico-Quirúrgica de Oriente	Rev. Med. Quir. Oriente	Rev Med Quir Oriente
Revista Medico-Quirúrgica de Patología Femenina	Rev. Med. Quir. Patol. Fem.	Rev Med Quir Patol Fem
Revista Mexicana de Cirugía, Ginecología y Cáncer	Rev. Mex. Cir. Ginecol. Cancer	Rev Mex Cir Ginecol Cancer
Revista Mexicana de Tuberculosis y Enfermedades del Aparato Respiratorio	Rev. Mex. Tuberc. Enferm. Apar. Respir.	Rev Mex Tuberc Enferm Apar Respir
Revista Mexicana de Urología	Rev. Mex. Urol.	Rev Mex Urol
Revista Militar de Remonta e Veterinaria	Rev. Mil. Remonta Vet.	Rev Mil Remonta Vet
Revista Neurológica de Buenos Aires	Rev. Neurol. B. Aires	Rev Neurol B Aires
Revista Odonto-Estomatologica	Rev. Odontoestomatol.	Rev Odontoestomatol
Revista Odontológica de Concepción	Rev. Odontol. Concepcion	Rev Odontol Concepcion
Revista Odontológica de Costa Rica	Rev. Odontol. Costa Rica	Rev Odontol Costa Rica
Revista Odontológica de Puerto Rico	Rev. Odontol. P. R.	Rev Odontol P R
Revista Odontológica del Circulo de Odontólogos del Paraguay	Rev. Odontol. Circ. Odontol. Parag.	Rev Odontol Circ Odontol Parag
Revista Odontologica Ecuatoriana	Rev. Odontol. Ecuat.	Rev Odontol Ecuat
Revista Odontológica: Facultad de Odontología, Universidad Nacional de Córdoba	Rev. Odontol. (Cordoba)	Rev Odontol (Cordoba)
Revista Oto-Neuro-Oftalmológica y Cirugía Neurológica Sudamericana	Rev. Oto Neuro. Oftalmol. Cir. Neurol. Sud. Am.	Rev Oto Neuro Oftalmol Cir Neurol Sud Am
Revista Panamericana de Medicina y Cirugía del Tórax	Rev. Panam. Med. Cir. Torax	Rev Panam Med Cir Torax
Revista Panamericana de Salud Publica	Rev. Panam. Salud Publica	Rev Panam Salud Publica
Revista Paulista de Endodontia	Rev. Paul. Endodontia	Rev Paul Endodontia
Revista Paulista de Enfermagem	Rev. Paul. Enferm.	Rev Paul Enferm
Revista Paulista de Medicina	Rev. Paul. Med.	Rev Paul Med
Revista Paulista de Odontología	Rev. Paul. Odontol.	Rev Paul Odontol
Revista Pernambucana de Odontologia	Rev. Pernambucana Odontol.	Rev Pernambucana Odontol
Revista Peruana de Medicina Experimental y Salud Publica	Rev. Peru. Med. Exp. Salud Publica	Rev Peru Med Exp Salud Publica
Revista Peruana de Pediatría	Rev. Peru. Pediatr.	Rev Peru Pediatr
Revista Portuguesa de Cardiologia	Rev. Port. Cardiol.	Rev Port Cardiol
Revista Portuguesa de Cirurgia Cardio-Torácica e Vascular	Rev. Port. Cir. Cardiotorac. Vasc.	Rev Port Cir Cardiotorac Vasc
Revista Portuguesa de Estomatologia e Cirurgia Maxilofacial	Rev. Port. Estomatol. Cir. Maxilofac.	Rev Port Estomatol Cir Maxilofac
Revista Portuguesa de Medicina Militar	Rev. Port. Med. Mil.	Rev Port Med Mil
Revista Portuguesa de Pediatria	Rev. Port. Pediatr.	Rev Port Pediatr
Revista Portuguesa de Pediatria e Puericultura	Rev. Port. Pediatr. Pueric.	Rev Port Pediatr Pueric
Revista Portuguesa de Pneumologia	Rev. Port. Pneumol.	Rev Port Pneumol
Revista Quirurgica Espanola	Rev. Quir. Esp.	Rev Quir Esp
Revista Regional de Aracatuba Associação Paulista de Cirurgiões Dentistas	Rev. Reg. Aracatuba Assoc. Paul. Cir. Dent.	Rev Reg Aracatuba Assoc Paul Cir Dent
Revista Stiintelor Medicale: Medicina Interna	Rev. Stiint. Med.	Rev Stiint Med
Revista Venezolana de Sanidad y Asistencia Social	Rev. Venez. Sanid. Asist. Soc.	Rev Venez Sanid Asist Soc
Revista Venezolana de Urología	Rev. Venez. Urol.	Rev Venez Urol
Revista. Asociación Colombiana de Médicos Veterinarios	Rev. Asoc. Columb. Med. Vet.	Rev Asoc Columb Med Vet
Revista. Asociacion Medica Latinoamericana	Rev. Asoc. Med. Latinoam.	Rev Asoc Med Latinoam
Revista. Asociacion Medica Mexicana	Rev. Asoc. Medica Mex.	Rev Asoc Medica Mex
Revista. Sociedad Peruana de Prótesis Dental y Maxilo-Facial, Lima	Rev. Soc. Peru. Protes. Dent. Maxilofac. Lima	Rev Soc Peru Protes Dent Maxilofac Lima
Revista. Tucuman, Argentine Republic	Rev. Fac. Med. Tucuman	Rev Fac Med Tucuman
Revmatologiia	Revmatologiia (Mosk.)	Revmatologiia (Mosk)
Revolution	Revolution	Revolution
Revue Annuelle - Société Odonto-Stomatologique du Nord-Est	Rev. Annu. Soc. Odontostomatol. Nordest	Rev Annu Soc Odontostomatol Nordest
Revue Belge de Médecine Dentaire	Rev. Belge Med. Dent.	Rev Belge Med Dent
Revue Belge de Médecine Dentaire (1984)	Rev. Belge Med. Dent. (1984)	Rev Belge Med Dent (1984)
Revue Belge de Pathologie et de Médecine Expérimentale	Rev. Belg. Pathol. Med. Exp.	Rev Belg Pathol Med Exp
Revue Belge de Science Dentaire. Belgisch Tijdschrift voor Tandheelkunde	Rev. Belge Sci. Dent.	Rev Belge Sci Dent
Revue Belge des Sciences Médicales	Rev. Belge Sci. Med.	Rev Belge Sci Med
Revue Canadienne de Biologie	Rev. Can. Biol.	Rev Can Biol
Revue Canadienne de Biologie Expérimentale	Rev. Can. Biol. Exp.	Rev Can Biol Exp
Revue Coloniale de Médecine & Chirurgie	Rev. Coloniale Med. Chir.	Rev Coloniale Med Chir
Revue d'Électroencéphalographie et de Neurophysiologie Clinique	Rev. Electroencephalogr. Neurophysiol. Clin.	Rev Electroencephalogr Neurophysiol Clin
Revue d'Élevage et de Médecine Vétérinaire des Pays Tropicaux	Rev. Elev. Med. Vet. Pays Trop.	Rev Elev Med Vet Pays Trop
Revue d'Épidémiologie et de Santé Publique	Rev. Epidemiol. Sante Publique	Rev Epidemiol Sante Publique
Revue d'Épidémiologie, Médecine Sociale et Santé Publique	Rev. Epidemiol. Med. Soc. Sante Publique	Rev Epidemiol Med Soc Sante Publique
Revue d'Histoire de l'Art Dentaire	Rev. Hist. Art Dent.	Rev Hist Art Dent
Revue d'Histoire de la Médecine Hébraïque	Rev. Hist. Med. Heb.	Rev Hist Med Heb
Revue d'Histoire de la Pharmacie	Rev. Hist. Pharm. (Paris)	Rev Hist Pharm (Paris)
Revue d'Hygiène et de Médecine Sociale	Rev. Hyg. Med. Soc.	Rev Hyg Med Soc
Revue d'Immunologie	Rev. Immunol. (Paris)	Rev Immunol (Paris)
Revue d'Immunologie et de Thérapie Antimicrobienne	Rev. Immunol. Ther. Antimicrob.	Rev Immunol Ther Antimicrob
Revue d'Odonto-Stomatologie	Rev. Odontostomatol. (Paris)	Rev Odontostomatol (Paris)
Revue d'Odonto-Stomatologie du Midi de la France	Rev. Odontostomatol. Midi Fr.	Rev Odontostomatol Midi Fr
Revue d'Orthopédie Dento-Faciale	Rev. Orthop. Dento Faciale	Rev Orthop Dento Faciale
Revue d'Oto-Neuro-Ophtalmologie	Rev. Otoneuroophtalmol.	Rev Otoneuroophtalmol
Revue de Chirurgie Orthopédique et Réparatrice de l'Appareil Moteur	Rev. Chir. Orthop. Reparatrice Appar. Mot.	Rev Chir Orthop Reparatrice Appar Mot
Revue de Cytologie Clinique	Rev. Cytol. Clin.	Rev Cytol Clin
Revue de Diététique	Rev. Diet.	Rev Diet
Revue de Gérontologie d'Expression Française	Rev. Gerontol. Expr. Fr.	Rev Gerontol Expr Fr
Revue de l'Athérosclérose et des Artériopathies Périphériques	Rev. Atheroscler. (Paris)	Rev Atheroscler (Paris)
Revue de l'Infirmière	Rev. Infirm.	Rev Infirm
Revue de l'Infirmière et de l'Assistante Sociale	Rev. Infirm. Assist. Soc.	Rev Infirm Assist Soc
Revue de l'Institut d'Hygiène des Mines	Rev. Inst. Hyg. Mines (Hasselt)	Rev Inst Hyg Mines (Hasselt)
Revue de l'Institut de Sociologie	Rev. Inst. Sociol.	Rev Inst Sociol
Revue de la Société de Biométrie Humaine	Rev. Soc. Biom. Hum.	Rev Soc Biom Hum
Revue de la Société Française d'Histoire de l'Art Dentaire	Rev. Soc. Fr. Hist. Art Dent.	Rev Soc Fr Hist Art Dent
Revue de Laryngologie Otologie Rhinologie	Rev. Laryngol. Otol. Rhinol. (Bord.)	Rev Laryngol Otol Rhinol (Bord)
Revue de Médecine Aéronautique	Rev. Med. Aeronaut.	Rev Med Aeronaut
Revue de Médecine de Toulouse	Rev. Med. Toulouse	Rev Med Toulouse
Revue de Médecine de Tours	Rev. Med. Tours	Rev Med Tours
Revue de Médecine et d'Hygiène d'Outre-Mer	Rev. Med. Hyg. Outre Mer	Rev Med Hyg Outre Mer
Revue de Médecine Interne	Rev. Med. Interne	Rev Med Interne
Revue de Médecine Navale (Métropole et Outre-Mer): Travaux Scientifiques des Médecins et Pharmaciens-Chimistes de la Marine 	Rev. Med. Nav. Metrop. O.-M.	Rev Med Nav Metrop O-M
Revue de Médecine Psychosomatique (1985)	Rev. Med. Psychosom.	Rev Med Psychosom
Revue de Médecine Psychosomatique et de Psychologie Médicale	Rev. Med. Psychosom. Psychol. Med.	Rev Med Psychosom Psychol Med
Revue de Médecine Vétérinaire	Rev. Med. Vet. (Toulouse)	Rev Med Vet (Toulouse)
Revue de Neuropsychiatrie Infantile et d'Hygiène Mentale de l'Enfance	Rev. Neuropsychiatr. Infant.	Rev Neuropsychiatr Infant
Revue de Pathologie Comparée	Rev. Pathol. Comp.	Rev Pathol Comp
Revue de Pathologie Générale et de Physiologie Clinique	Rev. Pathol. Gen. Physiol. Clin.	Rev Pathol Gen Physiol Clin
Revue de Pneumologie Clinique	Rev. Pneumol. Clin.	Rev Pneumol Clin
Revue de Psychologie Appliquée	Rev. Psychol. Appl.	Rev Psychol Appl
Revue de Stomatologie et de Chirurgie Maxillo-Faciale	Rev. Stomatol. Chir. Maxillofac.	Rev Stomatol Chir Maxillofac
Revue de Synthèse	Rev. Synth.	Rev Synth
Revue de Tuberculose et de Pneumologie	Rev. Tuberc. Pneumol. (Paris)	Rev Tuberc Pneumol (Paris)
Revue Dentaire Libanaise. Lebanese Dental Magazine	Rev. Dent. Liban.	Rev Dent Liban
Revue des Corps de Santé des Armées, Terre, Mer, Air	Rev. Corps Sante Armees Terre Mer Air	Rev Corps Sante Armees Terre Mer Air
Revue des Infirmières et Infirmiers Auxiliaires du Québec	Rev. Infirm. Infirm. Aux. Que.	Rev Infirm Infirm Aux Que
Revue des Maladies Respiratoires	Rev. Mal. Respir.	Rev Mal Respir
Revue des Sciences Médicales	Rev. Sci. Med.	Rev Sci Med
Revue du Paludisme et de Médecine Tropicale	Rev. Palud. Med. Trop.	Rev Palud Med Trop
Revue du Praticien	Rev. Prat.	Rev Prat
Revue du Rhumatisme et des Maladies Osteo-Articulaires	Rev. Rhum. Mal. Osteoartic.	Rev Rhum Mal Osteoartic
Revue du Rhumatisme. Edition Francaise	Rev. Rhum. Ed. Fr.	Rev Rhum Ed Fr
Revue du Rhumatisme. English Edition	Rev. Rhum. Engl. Ed.	Rev Rhum Engl Ed
Revue du SESDA	Rev. SESDA	Rev SESDA
Revue Européenne d'Études Cliniques et Biologiques	Rev. Eur. Etud. Clin. Biol.	Rev Eur Etud Clin Biol
Revue Française d'Allergologie	Rev. Fr. Allergol.	Rev Fr Allergol
Revue Française d'Endocrinologie Clinique, Nutrition et Métabolisme	Rev. Fr. Endocrinol. Clin.	Rev Fr Endocrinol Clin
Revue Française d'Endodontie	Rev. Fr. Endod.	Rev Fr Endod
Revue Française d'Études Cliniques et Biologiques	Rev. Fr. Etud. Clin. Biol.	Rev Fr Etud Clin Biol
Revue Française d'Odonto-Stomatologie	Rev. Fr. Odontostomatol.	Rev Fr Odontostomatol
Revue Française de Gynécologie et d'Obstétrique	Rev. Fr. Gynecol. Obstet.	Rev Fr Gynecol Obstet
Revue Française de la Prothèse Dentaire	Rev. Fr. Prothese Dent.	Rev Fr Prothese Dent
Revue Française de Psychanalyse	Rev. Fr. Psychanal.	Rev Fr Psychanal
Revue Française de Transfusion	Rev. Fr. Transfus.	Rev Fr Transfus
Revue Française de Transfusion et d'Hemobiologie	Rev. Fr. Transfus. Hemobiol.	Rev Fr Transfus Hemobiol
Revue Française de Transfusion et Immuno-Hématologie	Rev. Fr. Transfus. Immunohematol.	Rev Fr Transfus Immunohematol
Revue Française des Maladies Respiratoires	Rev. Fr. Mal. Respir.	Rev Fr Mal Respir
Revue Française des Prothésistes Dentaires	Rev. Fr. Prothes. Dent.	Rev Fr Prothes Dent
Revue Internationale d'Hépatologie	Rev. Int. Hepatol.	Rev Int Hepatol
Revue Internationale d'Histoire de la Psychanalyse	Rev. Int. Hist. Psychanal.	Rev Int Hist Psychanal
Revue Internationale d'Histoire de la Psychiatrie	Rev. Int. Hist. Psychiatr.	Rev Int Hist Psychiatr
Revue Internationale d'Histoire Militaire	Rev. Int. Hist. Mil.	Rev Int Hist Mil
Revue Internationale de Pédiatrie	Rev. Int. Pediatr.	Rev Int Pediatr
Revue Internationale des Services de Santé des Armées de Terre, de Mer et de l'Air	Rev. Int. Serv. Sante Armees	Rev Int Serv Sante Armees
Revue Internationale des Services de Santé des Forces Armées	Rev. Int. Serv. Sante Forces Armees	Rev Int Serv Sante Forces Armees
Revue Internationale du Trachome	Rev. Int. Trach.	Rev Int Trach
Revue Internationale du Trachome et de Pathologie Oculaire Tropicale et Subtropicale	Rev. Int. Trach. Pathol. Ocul. Trop. Subtrop.	Rev Int Trach Pathol Ocul Trop Subtrop
Revue Internationale du Trachome et de Pathologie Oculaire Tropicale et Subtropicale et de Santé Publique	Rev. Int. Trach. Pathol. Ocul. Trop. Subtrop. Sante Publique	Rev Int Trach Pathol Ocul Trop Subtrop Sante Publique
Revue Lyonnaise de Médecine	Rev. Lyon. Med.	Rev Lyon Med
Revue Médicale de Bruxelles	Rev. Med. Brux.	Rev Med Brux
Revue Médicale de France	Rev. Med. Fr.	Rev Med Fr
Revue Médicale de la Suisse Romande	Rev. Med. Suisse Romande	Rev Med Suisse Romande
Revue Médicale de Liège	Rev. Med. Liege	Rev Med Liege
Revue Médicale de Louvain	Rev. Med. Louvain	Rev Med Louvain
Revue Médicale de Nancy	Rev. Med. Nancy	Rev Med Nancy
Revue Médicale des Alpes Françaises	Rev. Med. Alpes Fr.	Rev Med Alpes Fr
Revue Medicale du Moyen-Orient	Rev. Med. Moyen Orient	Rev Med Moyen Orient
Revue Médicale Internationale de Photo, Cinéma, Télévision. International Journal of Medical Photography, Cinematography & Television	Rev. Med. Int. Photo Cinema Telev.	Rev Med Int Photo Cinema Telev
Revue Medicale Miniere	Rev. Med. Miniere	Rev Med Miniere
Revue Medicale Suisse	Rev. Med. Suisse	Rev Med Suisse
Revue Medico-Chirurgicale des Maladies du Foie	Rev. Med. Chir. Mal. Foie	Rev Med Chir Mal Foie
Revue Méditerranéenne des Sciences Médicales	Rev. Mediterr. Sci. Med.	Rev Mediterr Sci Med
Revue Neurologique	Rev. Neurol. (Paris)	Rev Neurol (Paris)
Revue Odonto-Implantologique	Rev. Odontoimplantol.	Rev Odontoimplantol
Revue Odonto-Stomatologique du Nord-Est	Rev. Odontostomatol. Nordest	Rev Odontostomatol Nordest
Revue Roumaine d'Endocrinologie	Rev. Roum. Endocrinol.	Rev Roum Endocrinol
Revue Roumaine d'Inframicrobiologie	Rev. Roum. Inframicrobiol.	Rev Roum Inframicrobiol
Revue Roumaine de Médecine	Rev. Roum. Med.	Rev Roum Med
Revue Roumaine de Médecine Interne	Rev. Roum. Med. Intern.	Rev Roum Med Intern
Revue Roumaine de Morphologie et d'Embryologie	Rev. Roum. Morphol. Embryol.	Rev Roum Morphol Embryol
Revue Roumaine de Morphologie et de Physiologie	Rev. Roum. Morphol. Physiol.	Rev Roum Morphol Physiol
Revue Roumaine de Neurologie	Rev. Roum. Neurol.	Rev Roum Neurol
Revue Roumaine de Neurologie et de Psychiatrie	Rev. Roum. Neurol. Psychiatr.	Rev Roum Neurol Psychiatr
Revue Roumaine de Virologie	Rev. Roum. Virol.	Rev Roum Virol
Revue Scientifique et Technique	Rev. Sci. Tech.	Rev Sci Tech
Revue Stomato-Odontologique du Nord de la France	Rev. Stomatoodontol. Nord Fr.	Rev Stomatoodontol Nord Fr
Revue Veterinaire Militaire	Rev. Vet. Mil. (Paris)	Rev Vet Mil (Paris)
RGO	RGO	RGO
Rheedea	Rheedea	Rheedea
Rheumatic Diseases Clinics of North America	Rheum. Dis. Clin. North Am.	Rheum Dis Clin North Am
Rheumatism	Rheumatism	Rheumatism
Rheumatologia, Balneologia, Allergologia	Rheumatol. Balneol. Allergol.	Rheumatol Balneol Allergol
Rheumatology (Oxford, England)	Rheumatology (Oxford)	Rheumatology (Oxford)
Rheumatology and Physical Medicine	Rheumatol. Phys. Med.	Rheumatol Phys Med
Rheumatology and Rehabilitation	Rheumatol. Rehabil.	Rheumatol Rehabil
Rheumatology International	Rheumatol. Int.	Rheumatol Int
Rhinology	Rhinology	Rhinology
Rhinology. Supplement	Rhinol. Suppl.	Rhinol Suppl
Rhode Island Dental Journal	R. I. Dent. J.	R I Dent J
Rhode Island Medicine	R. I. Med.	R I Med
Rhodesia Nurse	Rhod. Nurse	Rhod Nurse
Rhumatologie	Rhumatologie	Rhumatologie
Ricerca in Clinica e in Laboratorio	Ric. Clin. Lab.	Ric Clin Lab
Ricerca Scientifica	Ric. Sci.	Ric Sci
Ricerca Scientifica. 2 Ser. Parte I: Rivista	Ric. Sci. 2 Ser. Pt. 1 Riv.	Ric Sci 2 Ser Pt 1 Riv
Riforma Medica	Riforma Med.	Riforma Med
Rinsho Biseibutshu Jinsoku Shindan Kenkyukai Shi	Rinsho Biseibutshu Jinsoku Shindan Kenkyukai Shi	Rinsho Biseibutshu Jinsoku Shindan Kenkyukai Shi
Rinsho Byori. Japanese Journal of Clinical Pathology	Rinsho Byori	Rinsho Byori
Rinsho Fujinka Sanka. Clinical Gynecology and Obstetrics	Rinsho Fujinka Sanka	Rinsho Fujinka Sanka
Rinsho Ganka. Japanese Journal of Clinical Ophthalmology	Rinsho Ganka	Rinsho Ganka
Rinsho Geka. Journal of Clinical Surgery	Rinsho Geka	Rinsho Geka
Rinsho Hoshasen. Clinical Radiology	Rinsho Hoshasen	Rinsho Hoshasen
Rinsho Ketsueki. Japanese Journal of Clinical Hematology	Rinsho Ketsueki	Rinsho Ketsueki
Rinsho Kyobu Geka	Rinsho Kyobu Geka	Rinsho Kyobu Geka
Rinsho Naika Shonika. Internal Medicine and Pediatrics	Rinsho Naika Shonika Intern. Med.	Rinsho Naika Shonika Intern Med
Rinsho Shika	Rinsho Shika	Rinsho Shika
Rinsho Shinkeigaku. Clinical Neurology	Rinsho Shinkeigaku.	Rinsho Shinkeigaku
Rinsho Shishubyo Danwakai Kaishi	Rinsho Shishubyo Danwakai Kaishi	Rinsho Shishubyo Danwakai Kaishi
Rinsho Shokakibyogaku. Clinical Gastro-Enterology	Rinsho Shokakibyogaku	Rinsho Shokakibyogaku
Rinsho to Uirusu. Clinical Virology	Rinsho To Uirusu	Rinsho To Uirusu
Risk Management	Risk Manage.	Risk Manage
Risk Management and Healthcare Policy	Risk Manag. Healthc. Policy	Risk Manag Healthc Policy
RISO Report	RISO Rep.	RISO Rep
Rivista Critica di Clinica Medica	Riv. Crit. Clin. Med.	Riv Crit Clin Med
Rivista d'Ostetricia e Ginecologia Pratica	Riv. Ostet. Ginecol. Prat.	Riv Ostet Ginecol Prat
Rivista Degli Infortuni e delle Malattie Professionali	Riv. Infort. Mal. Prof.	Riv Infort Mal Prof
Rivista dell'Infermiere	Riv. Inferm.	Riv Inferm
Rivista dell'Istituto Sieroterapico Italiano	Riv. Ist. Sieroter. Ital.	Riv Ist Sieroter Ital
Rivista Della Tubercolosi e delle Malattie dell'Apparato Respiratorio	Riv. Tuberc. Mal. Appar. Respir.	Riv Tuberc Mal Appar Respir
Rivista di Anatomia Patologica e di Oncologia	Riv. Anat. Patol. Oncol.	Riv Anat Patol Oncol
Rivista di Biologia	Riv. Biol.	Riv Biol
Rivista di Chirurgia e Medicina	Riv. Chir. Med.	Riv Chir Med
Rivista di Chirurgia Pediatrica	Riv. Chir. Pediatr.	Riv Chir Pediatr
Rivista di Clinica Pediatrica	Riv. Clin. Pediatr.	Riv Clin Pediatr
Rivista di Emoterapia ed Immunoematologia	Riv. Emoter. Immunoematol.	Riv Emoter Immunoematol
Rivista di Gastro-Enterologia	Riv. Gastroenterol.	Riv Gastroenterol
Rivista di Istochimica, Normale e Patologica	Riv. Istochim. Norm. Patol.	Riv Istochim Norm Patol
Rivista di Malariologia	Riv. Malariol.	Riv Malariol
Rivista di Medicina Aeronautica	Riv. Med. Aeronaut.	Riv Med Aeronaut
Rivista di Medicina Aeronautica e Spaziale	Riv. Med. Aeronaut. Spaz.	Riv Med Aeronaut Spaz
Rivista di Neurobiologia	Riv. Neurobiol.	Riv Neurobiol
Rivista di Neurologia	Riv. Neurol.	Riv Neurol
Rivista di Odontoiatria Degli Amici di Brugg	Riv. Odontoiatr. Amici Brugg	Riv Odontoiatr Amici Brugg
Rivista di Odontostomatologia e Implantoprotesi	Riv. Odontostomatol. Implantoprotesi	Riv Odontostomatol Implantoprotesi
Rivista di Ostetricia e Ginecologia	Riv. Ostet. Ginecol.	Riv Ostet Ginecol
Rivista di Ostetricia Ginecologia Pratica e Medicina Perinatale	Riv. Ostet. Ginecol. Prat. Med. Perinat.	Riv Ostet Ginecol Prat Med Perinat
Rivista di Patologia Clinica e Sperimentale	Riv. Patol. Clin. Sper.	Riv Patol Clin Sper
Rivista di Patologia e Clinica	Riv. Patol. Clin.	Riv Patol Clin
Rivista di Patologia e Clinica della Tubercolosi	Riv. Patol. Clin. Tuberc.	Riv Patol Clin Tuberc
Rivista di Patologia Nervosa e Mentale	Riv. Patol. Nerv. Ment.	Riv Patol Nerv Ment
Rivista di Storia della Medicina	Riv. Stor. Med.	Riv Stor Med
Rivista di Storia delle Scienze Mediche e Naturali	Riv. Stor. Sci. Mediche Nat.	Riv Stor Sci Mediche Nat
Rivista Europea per le Scienze Mediche e Farmacologiche	Riv. Eur. Sci. Med. Farmacol.	Riv Eur Sci Med Farmacol
Rivista Italiana Degli Odontotecnici	Riv. Ital. Odontotec.	Riv Ital Odontotec
Rivista Italiana di Ginecologia	Riv. Ital. Ginecol.	Riv Ital Ginecol
Rivista Italiana di Medicina Legale: Dottrina, Casistica, Ricerca Sperimentale, Giurisprudenza e Legislazione	Riv. Ital. Med. Leg.	Riv Ital Med Leg
Rivista Italiana di Odontoiatria Infantile	Riv. Ital. Odontoiatr. Infant.	Riv Ital Odontoiatr Infant
Rivista Italiana di Pediatria. Italian Journal of Pediatrics	Riv. Ital. Pediatr.	Riv Ital Pediatr
Rivista Italiana di Stomatologia	Riv. Ital. Stomatol.	Riv Ital Stomatol
Rivista Oto-Neuro-Oftalmologica	Riv. Otoneurooftalmol.	Riv Otoneurooftalmol
Rivista Pediatrica Siciliana	Riv. Pediatr. Sicil.	Riv Pediatr Sicil
Rivista Sperimentale di Freniatria e Medicina Legale delle Alienazioni Mentali	Riv. Sper. Freniatr. Med. Leg. Alien. Ment.	Riv Sper Freniatr Med Leg Alien Ment
RN	RN	RN
RN (for Managers)	RN (For Managers)	RN (For Managers)
RN Idaho	RN Ida.	RN Ida
RNA Biology	RNA Biol.	RNA Biol
RNABC News	RNABC News.	RNABC News
RNAO News	RNAO News	RNAO News
Rocky Mountain Medical Journal	Rocky Mt. Med. J.	Rocky Mt Med J
Rocznik Pomorskiej Akademii Medycznej Im. Gen. Karola Swierczewskiego w Szczecinie	Rocz. Pomor. Akad. Med.	Rocz Pomor Akad Med
Roczniki Akademii Medycznej Im. Juliana Marchlewskiego w Bialymstoku	Rocz. Akad. Med. Im Juliana Marchlewskiego Bialymst.	Rocz Akad Med Im Juliana Marchlewskiego Bialymst
